Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
r5n.large , 16.0 GiB , 2 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $108.77 monthly , $68.62 monthly
r5n.metal , 768.0 GiB , 96 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , 100 Gigabit , unavailable , unavailable
r5n.xlarge , 32.0 GiB , 4 vCPUs , Intel Xeon Platinum 8259 (Cascade Lake) , Up to 25 Gigabit , $217.54 monthly , $137.24 monthly
t1.micro , 0.613 GiB , 1 vCPUs , Variable , Very Low , $14.60 monthly , $10.22 monthly
t2.2xlarge , 32.0 GiB , 8 vCPUs for a 4h 4.8m burst , Intel Xeon Family , Moderate , $270.976000 monthly , $167.90 monthly
t2.large , 8.0 GiB , 2 vCPUs for a 7h 12m burst , Intel Xeon Family , Low to Moderate , $67.744000 monthly , $41.97 monthly
t2.medium , 4.0 GiB , 2 vCPUs for a 4h 48m burst , Intel Xeon Family , Low to Moderate , $33.87 monthly , $20.951000 monthly
t2.micro , 1.0 GiB , 1 vCPUs for a 2h 24m burst , Intel Xeon Family , Low to Moderate , $8.468000 monthly , $5.256000 monthly
t2.nano , 0.5 GiB , 1 vCPUs for a 1h 12m burst , Intel Xeon Family , Low , $4.234000 monthly , $2.628000 monthly
t2.small , 2.0 GiB , 1 vCPUs for a 4h 48m burst , Intel Xeon Family , Low to Moderate , $16.79 monthly , $10.51 monthly
t2.xlarge , 16.0 GiB , 4 vCPUs for a 5h 24m burst , Intel Xeon Family , Moderate , $135.488000 monthly , $83.95 monthly
t3.2xlarge , 32.0 GiB , 8 vCPUs for a 9h 36m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Moderate , $242.944000 monthly , $152.278000 monthly
t3.large , 8.0 GiB , 2 vCPUs for a 7h 12m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Low to Moderate , $60.736000 monthly , $38.106000 monthly
t3.medium , 4.0 GiB , 2 vCPUs for a 4h 48m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Low to Moderate , $30.368000 monthly , $19.05 monthly
t3.micro , 1.0 GiB , 2 vCPUs for a 2h 24m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Low to Moderate , $7.59 monthly , $4.74 monthly
t3.nano , 0.5 GiB , 2 vCPUs for a 1h 12m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Low , $3.796000 monthly , $2.40 monthly
t3.small , 2.0 GiB , 2 vCPUs for a 4h 48m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Low to Moderate , $15.184000 monthly , $9.49 monthly
t3.xlarge , 16.0 GiB , 4 vCPUs for a 9h 36m burst , Intel Skylake E5 2686 v5 (2.5 GHz) , Moderate , $121.47 monthly , $76.13 monthly
t3a.2xlarge , 32.0 GiB , 8 vCPUs for a 9h 36m burst , AMD EPYC 7571 , Moderate , $219.584000 monthly , $137.678000 monthly
